chapter_no,chapter_title,repo_status,represented_sections,tracked_key_theorems,proved_tracked_theorems,missing_core_groups,completion_read,proved_key_theorem_groups,remaining_core_groups,evidence_source,notes
1,The Role of Algorithms,expository,Chapter_01,0,0,0,Guide page only,Project conventions and reader contract,None,CLRSLean/Chapter_01.lean,No formal theorem target.
2,Getting Started,main-proof-complete,2.1;2.2;2.3,6,6,0,Selected chapter sections complete,Insertion sort sortedness and permutation; insertion-sort quadratic comparison bound; merge-sort sortedness/permutation and power-of-two recurrence,Optional strengthening: full RAM semantics; arbitrary-size merge-sort recurrence; exercises,CLRSLean/Chapter_02.lean; CLRSLean/Status.lean,Current main section interfaces are stable.
3,Growth of Functions,partial,3.1;3.2,23,23,1,Core asymptotic wrapper complete; standard-function table incomplete,CLRS asymptotic notation wrappers; polynomial/exponential/log/factorial/harmonic/floor-ceiling growth facts,Complete the remaining CLRS standard-function table,CLRSLean/Chapter_03.lean; CLRSLean/Status.lean,"All tracked theorem names compile, but the chapter is not the whole textbook table yet."
4,Divide-and-Conquer,partial,4.1;4.2;4.3;4.4;4.5;4.6,68,68,3,Large proof core complete; final textbook-facing refinements remain,Maximum subarray correctness; Strassen 2x2 block algebra; substitution templates; recursion-tree expansions; exact-power Master cases; floor/ceiling all-input transfer and discrete Master wrappers,General n^(log_b a) all-input Master case packaging especially case 3; recursive Strassen refinement; runtime/RAM layers for maximum subarray,CLRSLean/Chapter_04.lean; CLRSLean/Status.lean; docs/proof-map.md,"Recent real-log bridge is proved for criticalPowerScale, but final case-3 comparison scale remains."
5,Probabilistic Analysis and Randomized Algorithms,selected-section-complete,5.1,6,6,1,Section 5.1 complete; rest of chapter not broadly modeled,Hiring problem finite rank-symmetry probability; harmonic expectation; logarithmic asymptotic expected-hires theorem,Additional randomized-algorithm examples beyond hiring problem are not yet represented,CLRSLean/Chapter_05.lean; CLRSLean/Status.lean,Uses finite rank-symmetry model rather than a general probability framework.
6,Heapsort,main-proof-complete,6.1;6.2;6.3;6.4;6.5,60,60,1,Main Chapter 6 proof stack complete for current array/functional models,Indexed heap predicates; MAX-HEAPIFY repair; BUILD-MAX-HEAP; in-place heapsort invariant and correctness; priority-queue operation state theorems,Full RAM/runtime cost semantics for priority-queue and heap operations,CLRSLean/Chapter_06.lean; CLRSLean/Status.lean,Do not revisit unless there is a specific refinement target.
7,Quicksort,partial,7.1;7.2;7.3,23,23,3,Functional correctness and comparison-count layers proved; probability model incomplete,Partition correctness; scan-state partition loop; quicksort sortedness/permutation; quadratic comparison bound; randomized-quicksort expected-comparison closed form and harmonic bound,Index-level mutable-array PARTITION refinement; explicit pivot probability/independence model; sharp n log n tails and lower bounds,CLRSLean/Chapter_07.lean; CLRSLean/Chapter_07/Section_07_2_Performance_Of_Quicksort.lean; CLRSLean/Chapter_07/Section_07_3_Randomized_Quicksort.lean,Status.lean/CLRSLean.lean may understate recent 7.2/7.3 progress in some prose; chapter file is authoritative here.
8,Sorting in Linear Time,main-proof-complete-for-correctness,8.2;8.3;8.4,20,20,2,Correctness layer complete; low-level/probabilistic refinements remain,Stable counting sort; count-table refinement; abstract and natural-key radix sort; deterministic bucket-sort correctness,Imperative reverse-scan output-array implementation of COUNTING-SORT; bucket-sort probabilistic expected-time analysis,CLRSLean/Chapter_08.lean; CLRSLean/Status.lean,"Reverse-bucket refinement exists, but not yet single mutable output array."
9,Medians and Order Statistics,partial,9.2;9.3,41,41,2,Selection correctness and median-of-medians recurrence layer proved; runtime semantics incomplete,Rank certificates; specification select; quickselect; pivot-parametric SELECT; five-element median certificate; grouped split counts; median-of-medians branch bound; linear recurrence induction,Randomized SELECT expected time; concrete cost semantics for medianOfMediansSelect? connecting executable cost to linear bound,CLRSLean/Chapter_09.lean; CLRSLean/Chapter_09/Section_09_3_Deterministic_Select.lean; CLRSLean/Status.lean,Recent recurrence induction is proved; some older prose may still mention it as a future refinement.
10,Elementary Data Structures,selected-section-complete,10.1;10.2,6,6,3,Functional stack/queue/list model complete for selected structures,Stack pop/push theorem; queue enqueue/dequeue theorems; linked-list search and delete facts,Pointer-level linked lists; free-list allocation; rooted-tree left-child/right-sibling representation,CLRSLean/Chapter_10.lean; CLRSLean/Status.lean,Current model intentionally avoids imperative memory.
11,Hash Tables,partial,11.1;11.2,8,8,1,Deterministic table behavior proved; expected analysis missing,Direct-address insert/search/delete; deterministic chained hash insert/delete/search facts,Expected-time hashing theorem under formal probability/simple-uniform-hashing model,CLRSLean/Chapter_11.lean; CLRSLean/Status.lean,Deterministic operations are compiler-clean.
12,Binary Search Trees,partial,12.1,11,11,1,Functional BST operation correctness proved; pointer refinement missing,Search; min/max; successor/predecessor; insert; functional delete membership and ordering,Parent-pointer procedures; transplant; pointer-level mutation refinement,CLRSLean/Chapter_12.lean; CLRSLean/Status.lean,Inductive functional tree model is the current proof surface.
13,Red-Black Trees,partial,13.1,10,10,2,Local invariant layer proved; full algorithms missing,Rotation membership; repaint membership; no-red-red; black-height; local red-black shape preservation,Full RB-INSERT/RB-DELETE fixup correctness; logarithmic height theorem,CLRSLean/Chapter_13.lean; CLRSLean/Status.lean,Current work is local rotation/recoloring infrastructure.
14,Augmenting Data Structures,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,Chapters 14-15 are explicitly listed as not yet represented.
15,Dynamic Programming,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,Potential future targets include optimal substructure and recurrence correctness theorems.
16,Greedy Algorithms,selected-section-complete,16.1;16.3,21,21,2,Activity selection and Huffman proved; other greedy sections unmodeled,Activity-selection greedy optimality; Huffman V2 frequency-table optimality and minimum-cost wrappers,Other Chapter 16 greedy topics such as matroid/task-scheduling style sections are not represented,CLRSLean/Chapter_16.lean; CLRSLean/Status.lean,Huffman is currently the strongest completed greedy optimality proof.
17,Amortized Analysis,partial,17.1-17.3;17.2;17.4,62,62,1,First-pass amortized framework and examples represented,Aggregate/accounting/potential telescoping plus MULTIPOP executable binary-counter one-step and multi-step trace bounds and dynamic-table potential nonnegativity post-transition potential nonnegativity concrete amortized-cost unfolding insert/delete actual-cost and capacity-choice case specs zero/positive delete-cost wrappers premise-light deletion-cost branch wrappers positive-cost lower bounds cost upper bounds capacity feasibility direction post-state field equations post-state allocation-size case wrappers stored-count direction post-state capacity corollaries resize-branch capacity wrappers and transition wrappers,Mutable-array copying allocator/RAM constants and sharper load-factor potential refinements,CLRSLean/Chapter_17.lean; Tests/Chapter_17_Interface.lean,No sorry/admit/axiom in Chapter_17; dynamic tables are still size-level rather than array-level.
18,B-Trees,partial,18.1;18.2;18.3,57,57,1,First-pass mathematical B-tree model represented,Search correctness direct base search success/failure wrappers minimum-key height expression base positivity recurrence and height monotonicity split-child direct validity membership/search preservation direct split old-key and failed-membership corollaries insertion/deletion membership direct insertion/deletion validity short-name wrappers equality-key update-query wrappers successful and unsuccessful search-after-update specs membership-driven search-after-update wrappers and direct inserted/deleted-key old-key query preservation old failed-search preservation wrappers failed-membership corollaries and direct failed-membership preservation wrappers,Full occupancy/separator/same-depth invariant stack node-level deletion repair and disk-page semantics,CLRSLean/Chapter_18.lean; Tests/Chapter_18_Interface.lean,Insertion and deletion are specification-level rather than pointer/page mutation.
19,Fibonacci Heaps,partial,19.1,89,89,1,Abstract finite-set Fibonacci heap model represented,Make-heap valid make-heap empty-minimum potential-zero potential-nonnegative minimum membership lower-bound and empty-result wrappers direct minimum/extract-min empty-result wrappers insert valid and insert-membership insert-self insert-old insert-failed-membership insert-minimum direct membership/lower-bound wrappers insert-empty-minimum union valid and union-membership union-left union-right union-failed-membership union-minimum direct membership/lower-bound wrappers union-empty-minimum extract-min valid and extract-min-membership extract-min-removed extract-min-old-key-preservation extract-min-failed-membership empty-extract-min remaining-minimum direct membership/lower-bound wrappers remaining-empty-minimum decrease-key valid and decrease-key-membership decrease-key-new decrease-key-old-key-preservation decrease-key-failed-membership decrease-key-minimum direct membership/lower-bound wrappers decrease-key-empty-minimum delete valid and delete-membership delete-removed delete-old-key-preservation delete-failed-membership direct failed-membership preservation wrappers delete-minimum direct membership/lower-bound wrappers delete-empty-minimum potential telescoping Fibonacci lower-bound recurrence positivity monotonicity two-step doubling even-index and half-index power-of-two lower bounds conditional degree-to-log wrappers and conservative degree budget,Pointer forest cascading cuts consolidation arrays duplicate handles subtree-size induction and true Fibonacci logarithmic degree theorem,CLRSLean/Chapter_19.lean; Tests/Chapter_19_Interface.lean,Potential theorem instantiates Chapter 17; degree bound is conservative.
20,van Emde Boas Trees,partial,20.1;20.2,114,114,1,First-pass vEB decomposition and finite-set operation spec represented,High-low-index reconstruction bounded recomposition and universe-closure arithmetic member min max successor predecessor successful-query universe bounds empty extrema/successor/predecessor cases direct extrema membership lower/upper-bound wrappers direct extrema empty-result wrappers direct update-extrema membership/order wrappers direct base/insert/delete neighbor membership/order wrappers insert delete membership-after-update direct updated-key old-key preservation failed member-query corollaries and direct failed member-query preservation wrappers direct no-neighbor query wrappers premise-light no-neighbor wrappers over old represented sets extrema-after-update positive and empty-result specs positive and no-neighbor update-neighbor-query specs update-query universe-bound wrappers and operation-depth base/step/linear/monotonicity wrappers,Recursive summary/cluster representation and asymptotic O(log log u) bridge,CLRSLean/Chapter_20.lean; Tests/Chapter_20_Interface.lean,Current model is set-specification layer with side-length arithmetic.
21,Data Structures for Disjoint Sets,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,Union-find correctness was intentionally deferred for MST work.
22,Elementary Graph Algorithms,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_22 module exists.
23,Minimum Spanning Trees,partial,23.1;23.2,31,31,3,Mathematical Kruskal/cut-property stack largely built; Prim and automation missing,Cut property; safe edge theorem; exchange certificates; exact-component Kruskal scan; finite-graph spanning-tree and optimality wrappers; cycle-test optimality wrapper,Automatic finite path/cycle exchange extraction; prefix-local sorted-lightness wrapper inside full recursive optimality; Prim theorem interface/proof,CLRSLean/Chapter_23.lean; CLRSLean/Status.lean,Union-find implementation correctness remains intentionally out of scope for now.
24,Single-Source Shortest Paths,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_24 module exists.
25,All-Pairs Shortest Paths,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_25 module exists.
26,Maximum Flow,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_26 module exists.
27,Multithreaded Algorithms,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_27 module exists.
28,Matrix Operations,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_28 module exists.
29,Linear Programming,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_29 module exists.
30,Polynomials and the FFT,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_30 module exists.
31,Number-Theoretic Algorithms,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_31 module exists.
32,String Matching,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_32 module exists.
33,Computational Geometry,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_33 module exists.
34,NP-Completeness,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_34 module exists.
35,Approximation Algorithms,not-started,None,0,0,1,Not represented,No tracked theorem names yet,Whole chapter theorem inventory and formalization pending,CLRSLean file tree,No Chapter_35 module exists.
